[VERILATOR] Starting AeroCore-V SoC Simulation...
cyc=0 pc=00000000 instr=00000097 dreq=0 dwe=0 dvalid=0 stall=0
cyc=1 pc=00000004 instr=00000011 dreq=0 dwe=0 dvalid=0 stall=0
cyc=2 pc=00000008 instr=00000000 dreq=0 dwe=0 dvalid=0 stall=0
cyc=3 pc=0000000c instr=00000000 dreq=0 dwe=0 dvalid=0 stall=0
cyc=4 pc=00000010 instr=00000093 dreq=0 dwe=0 dvalid=0 stall=0
cyc=5 pc=00000014 instr=00000081 dreq=0 dwe=0 dvalid=0 stall=0
cyc=6 pc=00000018 instr=00000041 dreq=0 dwe=0 dvalid=0 stall=0
cyc=7 pc=0000001c instr=0000009a dreq=0 dwe=0 dvalid=0 stall=0
cyc=8 pc=00000020 instr=00000017 dreq=0 dwe=0 dvalid=0 stall=0
cyc=9 pc=00000024 instr=00000041 dreq=0 dwe=0 dvalid=0 stall=0
cyc=10 pc=00000028 instr=00000000 dreq=0 dwe=0 dvalid=0 stall=0
cyc=11 pc=0000002c instr=00000000 dreq=0 dwe=0 dvalid=0 stall=0
cyc=12 pc=00000030 instr=00000013 dreq=0 dwe=0 dvalid=0 stall=0
cyc=13 pc=00000034 instr=00000001 dreq=0 dwe=0 dvalid=0 stall=0
cyc=14 pc=00000038 instr=00000081 dreq=0 dwe=0 dvalid=0 stall=0
cyc=15 pc=0000003c instr=000000ff dreq=0 dwe=0 dvalid=0 stall=0
cyc=16 pc=00000040 instr=00000093 dreq=0 dwe=0 dvalid=0 stall=0
cyc=17 pc=00000044 instr=00000002 dreq=0 dwe=0 dvalid=0 stall=0
cyc=18 pc=00000048 instr=00000040 dreq=0 dwe=0 dvalid=0 stall=0
cyc=19 pc=0000004c instr=0000001a dreq=0 dwe=0 dvalid=0 stall=0
cyc=20 pc=00000050 instr=00000013 dreq=0 dwe=0 dvalid=0 stall=0
cyc=21 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=22 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=23 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=24 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=25 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=26 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=27 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=28 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=29 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=30 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=31 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=32 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=33 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=34 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=35 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=36 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=37 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=38 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=39 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=40 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=41 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=0 stall=1
cyc=42 pc=00000054 instr=00000003 dreq=1 dwe=0 dvalid=1 stall=0
cyc=43 pc=00000058 instr=00000000 dreq=0 dwe=0 dvalid=0 stall=0
cyc=44 pc=0000005c instr=0000001b dreq=0 dwe=0 dvalid=0 stall=0
cyc=45 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=46 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=47 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=48 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=49 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=50 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=51 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=52 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=53 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=54 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=55 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=56 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=57 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=58 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=59 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=60 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=61 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=62 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=63 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=64 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=65 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=66 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=67 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=68 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=69 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=70 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=71 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=72 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=73 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=74 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=75 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=76 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=77 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=78 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=79 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=80 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=81 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=82 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=83 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=84 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=85 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=86 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=87 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=88 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=89 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=90 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=91 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=92 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=93 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=94 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=95 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=96 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=97 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=98 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=99 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=100 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=101 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=102 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=103 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=104 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=105 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=106 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=107 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=108 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=109 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=110 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=111 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=112 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=113 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=114 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=115 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=116 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=117 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=118 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=119 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=120 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=121 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=122 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=123 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=124 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=125 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=126 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=127 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=128 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=129 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=130 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=131 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=132 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=133 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=134 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=135 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=136 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=137 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=138 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=139 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=140 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=141 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=142 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=143 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=144 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=145 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=146 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=147 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=148 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
